combo_key,option,match_no,winner_slot,winner_group,third_group
ABCDEHIL,468,87,1K,K,L
ABCDEHIL,468,80,1L,L,I
ABCDEHJK,467,79,1A,A,H
ABCDEHJK,467,85,1B,B,J
ABCDEHJK,467,81,1D,D,B
ABCDEHJK,467,74,1E,E,C
ABCDEHJK,467,82,1G,G,A
ABCDEHJK,467,77,1I,I,D
ABCDEHJK,467,87,1K,K,E
ABCDEHJK,467,80,1L,L,K
ABCDEHJL,466,79,1A,A,H
ABCDEHJL,466,85,1B,B,J
ABCDEHJL,466,81,1D,D,B
ABCDEHJL,466,74,1E,E,C
ABCDEHJL,466,82,1G,G,A
ABCDEHJL,466,77,1I,I,D
ABCDEHJL,466,87,1K,K,L
ABCDEHJL,466,80,1L,L,E
ABCDEHKL,465,79,1A,A,H
ABCDEHKL,465,85,1B,B,E
ABCDEHKL,465,81,1D,D,B
ABCDEHKL,465,74,1E,E,C
ABCDEHKL,465,82,1G,G,A
ABCDEHKL,465,77,1I,I,D
ABCDEHKL,465,87,1K,K,L
ABCDEHKL,465,80,1L,L,K
ABCDEIJK,464,79,1A,A,E
ABCDEIJK,464,85,1B,B,J
ABCDEIJK,464,81,1D,D,B
ABCDEIJK,464,74,1E,E,C
ABCDEIJK,464,82,1G,G,A
ABCDEIJK,464,77,1I,I,D
ABCDEIJK,464,87,1K,K,I
ABCDEIJK,464,80,1L,L,K
ABCDEIJL,463,79,1A,A,E
ABCDEIJL,463,85,1B,B,J
ABCDEIJL,463,81,1D,D,B
ABCDEIJL,463,74,1E,E,C
ABCDEIJL,463,82,1G,G,A
ABCDEIJL,463,77,1I,I,D
ABCDEIJL,463,87,1K,K,L
ABCDEIJL,463,80,1L,L,I
ABCDEIKL,462,79,1A,A,E
ABCDEIKL,462,85,1B,B,I
ABCDEIKL,462,81,1D,D,B
ABCDEIKL,462,74,1E,E,C
ABCDEIKL,462,82,1G,G,A
ABCDEIKL,462,77,1I,I,D
ABCDEIKL,462,87,1K,K,L
ABCDEIKL,462,80,1L,L,K
ABCDEJKL,461,79,1A,A,E
ABCDEJKL,461,85,1B,B,J
ABCDEJKL,461,81,1D,D,B
ABCDEJKL,461,74,1E,E,C
ABCDEJKL,461,82,1G,G,A
ABCDEJKL,461,77,1I,I,D
ABCDEJKL,461,87,1K,K,L
ABCDEJKL,461,80,1L,L,K
ABCDFGHI,460,79,1A,A,H
ABCDFGHI,460,85,1B,B,G
ABCDFGHI,460,81,1D,D,B
ABCDFGHI,460,74,1E,E,C
ABCDFGHI,460,82,1G,G,A
ABCDFGHI,460,77,1I,I,F
ABCDFGHI,460,87,1K,K,D
ABCDFGHI,460,80,1L,L,I
ABCDFGHJ,459,79,1A,A,H
ABCDFGHJ,459,85,1B,B,G
ABCDFGHJ,459,81,1D,D,B
ABCDFGHJ,459,74,1E,E,C
ABCDFGHJ,459,82,1G,G,A
ABCDFGHJ,459,77,1I,I,F
ABCDFGHJ,459,87,1K,K,D
ABCDFGHJ,459,80,1L,L,J
ABCDFGHK,458,79,1A,A,H
ABCDFGHK,458,85,1B,B,G
ABCDFGHK,458,81,1D,D,B
ABCDFGHK,458,74,1E,E,C
ABCDFGHK,458,82,1G,G,A
ABCDFGHK,458,77,1I,I,F
ABCDFGHK,458,87,1K,K,D
ABCDFGHK,458,80,1L,L,K
ABCDFGHL,457,79,1A,A,C
ABCDFGHL,457,85,1B,B,G
ABCDFGHL,457,81,1D,D,B
ABCDFGHL,457,74,1E,E,D
ABCDFGHL,457,82,1G,G,A
ABCDFGHL,457,77,1I,I,F
ABCDFGHL,457,87,1K,K,L
ABCDFGHL,457,80,1L,L,H
ABCDFGIJ,456,79,1A,A,C
ABCDFGIJ,456,85,1B,B,G
ABCDFGIJ,456,81,1D,D,B
ABCDFGIJ,456,74,1E,E,D
ABCDFGIJ,456,82,1G,G,A
ABCDFGIJ,456,77,1I,I,F
ABCDFGIJ,456,87,1K,K,I
ABCDFGIJ,456,80,1L,L,J
ABCDFGIK,455,79,1A,A,C
ABCDFGIK,455,85,1B,B,G
ABCDFGIK,455,81,1D,D,B
ABCDFGIK,455,74,1E,E,D
ABCDFGIK,455,82,1G,G,A
ABCDFGIK,455,77,1I,I,F
ABCDFGIK,455,87,1K,K,I
ABCDFGIK,455,80,1L,L,K
ABCDFGIL,454,79,1A,A,C
ABCDFGIL,454,85,1B,B,G
ABCDFGIL,454,81,1D,D,B
ABCDFGIL,454,74,1E,E,D
ABCDFGIL,454,82,1G,G,A
ABCDFGIL,454,77,1I,I,F
ABCDFGIL,454,87,1K,K,L
ABCDFGIL,454,80,1L,L,I
ABCDFGJK,453,79,1A,A,C
ABCDFGJK,453,85,1B,B,G
ABCDFGJK,453,81,1D,D,B
ABCDFGJK,453,74,1E,E,D
ABCDFGJK,453,82,1G,G,A
ABCDFGJK,453,77,1I,I,F
ABCDFGJK,453,87,1K,K,J
ABCDFGJK,453,80,1L,L,K
ABCDFGJL,452,79,1A,A,C
ABCDFGJL,452,85,1B,B,G
ABCDFGJL,452,81,1D,D,B
ABCDFGJL,452,74,1E,E,D
ABCDFGJL,452,82,1G,G,A
ABCDFGJL,452,77,1I,I,F
ABCDFGJL,452,87,1K,K,L
ABCDFGJL,452,80,1L,L,J
ABCDFGKL,451,79,1A,A,C
ABCDFGKL,451,85,1B,B,G
ABCDFGKL,451,81,1D,D,B
ABCDFGKL,451,74,1E,E,D
ABCDFGKL,451,82,1G,G,A
ABCDFGKL,451,77,1I,I,F
ABCDFGKL,451,87,1K,K,L
ABCDFGKL,451,80,1L,L,K
ABCDFHIJ,450,79,1A,A,H
ABCDFHIJ,450,85,1B,B,J
ABCDFHIJ,450,81,1D,D,B
ABCDFHIJ,450,74,1E,E,C
ABCDFHIJ,450,82,1G,G,A
ABCDFHIJ,450,77,1I,I,F
ABCDFHIJ,450,87,1K,K,D
ABCDFHIJ,450,80,1L,L,I
ABCDFHIK,449,79,1A,A,H
ABCDFHIK,449,85,1B,B,F
ABCDFHIK,449,81,1D,D,B
ABCDFHIK,449,74,1E,E,C
ABCDFHIK,449,82,1G,G,A
ABCDFHIK,449,77,1I,I,D
ABCDFHIK,449,87,1K,K,I
ABCDFHIK,449,80,1L,L,K
ABCDFHIL,448,79,1A,A,H
ABCDFHIL,448,85,1B,B,F
ABCDFHIL,448,81,1D,D,B
ABCDFHIL,448,74,1E,E,C
ABCDFHIL,448,82,1G,G,A
ABCDFHIL,448,77,1I,I,D
ABCDFHIL,448,87,1K,K,L
ABCDFHIL,448,80,1L,L,I
ABCDFHJK,447,79,1A,A,H
ABCDFHJK,447,85,1B,B,J
ABCDFHJK,447,81,1D,D,B
ABCDFHJK,447,74,1E,E,C
ABCDFHJK,447,82,1G,G,A
ABCDFHJK,447,77,1I,I,F
ABCDFHJK,447,87,1K,K,D
ABCDFHJK,447,80,1L,L,K
ABCDFHJL,446,79,1A,A,C
ABCDFHJL,446,85,1B,B,J
ABCDFHJL,446,81,1D,D,B
