rank,player_name,team,position_group,minutes,xg_chain,xg_buildup,xg_chain_p90,xg_buildup_p90
149,Ladislav Krejčí,Czech Republic,DEF,296,1.6162095197,0.8056243427,0.4914150566655405,0.24495334744256758
150,Giovanni Di Lorenzo,Italy,DEF,390,1.61581976,1.42467411,0.3728814830769231,0.3287709484615384
151,Joey Veerman,Netherlands,MID,233,1.5923770973,1.1731393413,0.6150812822188841,0.4531439515751073
152,Denis Vavro,Slovakia,DEF,425,1.5855143784,1.530956143,0.33575598601411766,0.32420247734117646
153,Barnabás Varga,Hungary,FWD,261,1.579780734,0.571867649,0.5447519772413794,0.19719574103448276
154,Morten Hjulmand,Denmark,MID,248,1.5700784509999999,1.245161295,0.5697865346370967,0.45187305060483873
155,Bendegúz Bolla,Hungary,DEF,216,1.55012841,1.348322333,0.6458868375,0.5618009720833333
156,Mykhailo Mudryk,Ukraine,FWD,181,1.543732144,0.453306294,0.7676016185635359,0.22540091966850828
157,Denis Mihai Drăguş,Romania,FWD,301,1.538005128,0.344958347,0.4598686429235881,0.10314369179401993
158,Riccardo Calafiori,Italy,DEF,295,1.52561842,1.046892293,0.4654429077966102,0.31939086905084746
159,Nicola Zalewski,Poland,DEF,260,1.525136635,1.310573289,0.5279319121153846,0.4536599846538461
160,Lorenzo Pellegrini,Italy,FWD,225,1.519679958,0.633438815,0.6078719832,0.253375526
161,David Strelec,Slovakia,FWD,200,1.505617373,0.154627657,0.67752781785,0.06958244565
162,Giorgi Chakvetadze,Georgia,MID,253,1.4823725877,1.0688393010000001,0.5273262169683794,0.3802195141897234
163,Federico Dimarco,Italy,DEF,239,1.479878832,1.130328384,0.5572765476150627,0.42564667179916316
164,Otar Kakabadze,Georgia,DEF,389,1.477860856,1.063502173,0.34192153480719795,0.24605448732647814
165,Merih Demiral,Turkey,DEF,236,1.4757099745,0.7102074075,0.5627707529872882,0.27084180794491525
166,Mikel Merino Zazón,Spain,MID,217,1.470721475,0.834343373,0.6099766486175114,0.34604103027649774
167,Gianluca Scamacca,Italy,FWD,269,1.4576176410000001,0.474128909,0.4876787646468402,0.15863048999999999
168,Jan Bednarek,Poland,DEF,288,1.4496134129999998,0.8007902929999999,0.4530041915625,0.2502469665625
169,Georgiy Sudakov,Ukraine,MID,276,1.4370287733,0.881918797,0.4685963391195652,0.28758221641304343
170,João Maria Lobo Alves Palhinha Gonçalves,Portugal,MID,310,1.364596529,1.043313648,0.39617318583870964,0.3028975107096774
171,Robert Andrich,Germany,MID,339,1.356851832,0.970159314,0.3602261500884956,0.25756441964601773
172,Artem Dovbyk,Ukraine,FWD,259,1.342064237,0.329117471,0.4663543680694981,0.11436514436293435
173,Andrija Živković,Serbia,DEF,252,1.329801357,0.6398456109999999,0.47492905607142855,0.22851628964285714
174,Aleksandar Mitrović,Serbia,FWD,254,1.3261113469999999,0.172273576,0.4698819733464567,0.061041818267716534
175,Jorge Luiz Frello Filho,Italy,MID,223,1.324007568,1.253011606,0.5343528301345292,0.5056997513004484
176,Ivan Ilić,Serbia,MID,214,1.312700263,1.002670087,0.5520702040654206,0.42168368144859814
177,Jan Mlakar,Slovenia,MID,297,1.284306013,0.21750377999999998,0.38918364030303026,0.06591023636363635
178,Kobbie Mainoo,England,MID,387,1.283879759,0.950124921,0.2985766881395349,0.22095928395348838
179,Lasha Dvali,Georgia,DEF,389,1.2799361057,1.2799361057,0.296129176125964,0.296129176125964
180,Lukáš Provod,Czech Republic,MID,241,1.275334277,1.014172947,0.47626591257261414,0.37873678518672205
181,Mykola Shaparenko,Ukraine,MID,227,1.258550205,0.601424373,0.4989846627753304,0.23845019193832595
182,Vanja Drkušić,Slovenia,DEF,412,1.244033572,1.1505614450000001,0.27175490650485434,0.2513362379854369
183,Orkun Kökçü,Turkey,MID,237,1.2283334262,0.2840270815,0.4664557314683544,0.10785838537974685
184,Konrad Laimer,Austria,MID,285,1.216849381,0.722544938,0.3842682255789474,0.22817208568421052
185,Nicușor Silviu Bancu,Romania,DEF,288,1.203295931,1.046062331,0.37602997843749997,0.32689447843749997
186,Federico Chiesa,Italy,FWD,282,1.171585396,0.572829595,0.3739102327659574,0.18281795585106383
187,Andrei Burcă Andonie,Romania,DEF,385,1.129343662,1.017852042,0.2640024144935065,0.23793943838961037
188,Jakub Moder,Poland,MID,198,1.119848739,0.635444101,0.5090221540909091,0.28883822772727274
189,Strahinja Pavlović,Serbia,DEF,288,1.104396376,1.071487471,0.3451238675,0.3348398346875
190,Joakim Mæhle,Denmark,DEF,306,1.037502363,0.723033473,0.3051477538235294,0.2126569038235294
191,Guram Kashia,Georgia,DEF,389,1.026996025,1.026996025,0.23760833483290492,0.23760833483290492
192,Randal Kolo Muani,France,FWD,219,1.0252679599999999,0.326784555,0.4213429972602739,0.1342950226027397
193,Volodymyr Brazhko,Ukraine,MID,189,1.013107313,0.937357936,0.48243205380952375,0.4463609219047619
194,José Ignacio Fernández Iglesias,Spain,DEF,294,1.012952651,0.985511468,0.3100875462244898,0.30168718408163264
195,András Schäfer,Hungary,MID,296,1.0063668479999999,0.940359154,0.3059899199999999,0.28592001304054054
196,Jasir Asani,Albania,FWD,214,0.995033706,0.619502268,0.41847211934579437,0.26053833700934576
197,Heorhii Tsitaishvili,Georgia,DEF,203,0.994480556,0.794310568,0.44090270955665023,0.35215739467980295
198,Philipp Mwene,Austria,DEF,196,0.980978114,0.846630964,0.45044913397959185,0.388759116122449
199,Arthur Theate,Belgium,DEF,266,0.9744114970000001,0.927672206,0.3296881004887218,0.31387405466165413
200,Eduardo Camavinga,France,MID,188,0.965791003,0.347812303,0.4623467567553191,0.16650588973404254
201,Philipp Lienhart,Austria,DEF,222,0.963575997,0.7824048809999999,0.39063891770270265,0.3171911679729729
202,Andrei Florin Ratiu,Romania,DEF,379,0.944381498,0.653411879,0.22425945862796834,0.1551637707387863
203,Oleksandr Tymchyk,Ukraine,DEF,215,0.943296958,0.925272011,0.39486849404651164,0.3873231673953489
204,Nikola Milenković,Serbia,DEF,288,0.937551908,0.9146391979999999,0.29298497125,0.28582474937499996
205,Attila Fiola,Hungary,DEF,194,0.913509168,0.868672814,0.42379291298969074,0.4029925425773196
206,Ylber Ramadani,Albania,MID,277,0.9065325679999999,0.8756401659999999,0.2945412675812274,0.2845040250541516
