rank,player_name,team,position_group,minutes,value_share,minutes_weight,overachievement_mult,shrinkage,carry_score,vaep_raw
37,Breel-Donald Embolo,Switzerland,FWD,315,0.24061995530946134,0.7,1.744452903586076,0.5384615384615384,0.15821352927166724,2.2257476513345114
38,Kylian Mbappé Lottin,France,FWD,486,0.09132962510417073,0.9,2.966450983561978,0.6428571428571429,0.1567493810979124,0.655665817175561
39,Willi Orban,Hungary,DEF,296,0.1364693463153156,1.0,2.1782493249099044,0.5229681978798587,0.15545975512145005,0.42452737791801776
40,Andrei Florin Ratiu,Romania,DEF,379,0.19768610654245383,1.0,1.3446812754032118,0.5839753466872111,0.15523513316891488,0.9929322901248379
41,Ferdi Erenay Kadıoğlu,Turkey,DEF,487,0.09303106089453386,1.0,2.566679355379114,0.6433289299867899,0.15361466309011546,0.909405498227842
42,Răzvan Gabriel Marin,Romania,MID,376,0.19533970649311405,1.0,1.3446812754032118,0.5820433436532507,0.15288511883851805,0.9811468570699375
43,Christian Dannemann Eriksen,Denmark,MID,364,0.1494221566324694,1.0,1.7557945012997307,0.5741324921135647,0.15062630088249182,0.4647625188453113
44,Pierre-Emile Højbjerg,Denmark,MID,373,0.14638166076694276,1.0,1.7557945012997307,0.5800933125972006,0.14909332957933713,0.45530536370280644
45,Andreas Christensen,Denmark,DEF,369,0.1469722213892583,1.0,1.7557945012997307,0.5774647887323944,0.149016531612982,0.4571422428413758
46,Milos Veljkovic,Serbia,DEF,288,0.21190898364406485,1.0,1.3560228731168664,0.5161290322580645,0.14831144714338057,0.8324886445845946
47,Andrew Robertson,Scotland,DEF,282,0.09270547687394416,1.0,3.0004757767029426,0.5108695652173914,0.1421037529697209,0.3610326394318183
48,Luka Modrić,Croatia,MID,245,0.15092824508350947,0.9074074074074074,2.1782493249099044,0.47572815533980584,0.1419185894388964,0.6590482031597372
49,N'Golo Kanté,France,MID,538,0.07164789923182802,0.9962962962962963,2.966450983561978,0.6658415841584159,0.14099381715928738,0.5143684576079955
50,Kyle Walker,England,DEF,733,0.05094958098052774,1.0,3.777335837641361,0.7308075772681955,0.14064660626556238,0.5763758903086103
51,Granit Xhaka,Switzerland,MID,509,0.12310299477840682,1.0,1.744452903586076,0.6534017971758665,0.140316321862386,1.1387093857111603
52,Lukáš Provod,Czech Republic,MID,241,0.18552840797058515,0.8925925925925926,1.7671360990133853,0.47162426614481406,0.1380161274372698,1.146055670464605
53,Bernardo Mota Veiga de Carvalho e Silva,Portugal,FWD,440,0.1286373878936079,0.9777777777777777,1.744452903586076,0.6197183098591549,0.13597559007603705,1.182877121441216
54,Nicholas Williams Arthuer,Spain,FWD,514,0.11847056425918276,0.8158730158730159,2.1328829340552846,0.6556122448979592,0.1351596635758555,1.7581328844327004
55,Denis Vavro,Slovakia,DEF,425,0.12266307237584415,1.0,1.7557945012997307,0.6115107913669064,0.1317017811449873,0.7713599982795063
56,Mateo Kovačić,Croatia,MID,234,0.14509395507226044,0.8666666666666667,2.1782493249099044,0.4642857142857143,0.12717282580168435,0.6335720018927115
57,Kobbie Mainoo,England,MID,387,0.09281955917441914,0.6142857142857143,3.777335837641361,0.589041095890411,0.12686479194997421,1.0500372138027037
58,Merih Demiral,Turkey,DEF,236,0.19805392835310132,0.5244444444444445,2.566679355379114,0.466403162055336,0.12434148612319934,1.9360343702209255
59,William Saliba,France,DEF,607,0.05881127379188736,1.0,2.966450983561978,0.6921322690992018,0.1207499223689596,0.422212856407888
60,Timothy Castagne,Belgium,DEF,379,0.148801456751568,1.0,1.3446812754032118,0.5839753466872111,0.11684793817110029,0.8979218989814942
61,Remo Freuler,Switzerland,MID,472,0.10289716822092523,1.0,1.744452903586076,0.6361185983827493,0.11418282014612288,0.9518043929571418
62,Adrien Rabiot,France,MID,386,0.09138187799225395,0.7148148148148148,2.966450983561978,0.5884146341463414,0.11401822238082117,0.6560409466313734
63,Nikola Milenković,Serbia,DEF,288,0.16262862821760474,1.0,1.3560228731168664,0.5161290322580645,0.11382097532216313,0.6388897910195683
64,Andrej Kramarić,Croatia,FWD,246,0.11712953906828409,0.9111111111111111,2.1782493249099044,0.47674418604651164,0.11082322158542617,0.5114616698628476
65,Tomáš Holeš,Czech Republic,DEF,293,0.11912094335679377,1.0,1.7671360990133853,0.5204262877442274,0.10955125277480544,0.7358400478852335
66,Oleksandr Zinchenko,Ukraine,DEF,229,0.1570774371291708,0.8481481481481481,1.7671360990133853,0.4589178356713427,0.1080414639868019,0.7733036085308745
67,Ruben Vargas,Switzerland,MID,317,0.1580603090677126,0.7044444444444444,1.744452903586076,0.5400340715502555,0.1048938401499897,1.4620664409326118
68,Bendegúz Bolla,Hungary,DEF,216,0.13156589400480015,0.8,2.1782493249099044,0.4444444444444444,0.10189629148342184,0.4092737710946988
69,Abdülkerim Bardakcı,Turkey,DEF,387,0.07562294020470059,0.86,2.566679355379114,0.589041095890411,0.09832619262494816,0.7392360890334726
70,Giovanni Di Lorenzo,Italy,DEF,390,0.09475871712866321,1.0,1.7557945012997307,0.5909090909090909,0.09831358401370024,0.6868744283187601
71,Denis Mihai Drăguş,Romania,FWD,301,0.16570693578097748,0.8361111111111111,1.3446812754032118,0.5271453590192644,0.09820970942150362,0.8323081986504739
72,Hakan Çalhanoğlu,Turkey,MID,373,0.07928127147763292,0.8288888888888889,2.566679355379114,0.5800933125972006,0.09784449609043062,0.7749973341698161
73,Donyell Malen,Netherlands,FWD,204,0.17512911793305952,0.37777777777777777,3.377564209458497,0.43037974683544306,0.09617234541828933,2.1024634180023134
74,Stefan Posch,Austria,DEF,390,0.17104925447698482,1.0,0.9335680495066926,0.5909090909090909,0.09435997933324929,0.9292312922445362
75,Josip Šutalo,Croatia,DEF,295,0.08214573875341355,1.0,2.1782493249099044,0.5221238938053098,0.0934256645933368,0.3587002651008863
76,Daniel Olmo Carvajal,Spain,MID,461,0.0922389546542679,0.7317460317460317,2.1328829340552846,0.6306429548563611,0.09078734508748458,1.3688492193603718
77,Kieran Trippier,England,DEF,463,0.051394802049378824,0.734920634920635,3.777335837641361,0.6316507503410641,0.09012022237341129,0.5814125301593143
78,Daniel Carvajal Ramos,Spain,DEF,504,0.0808567593183504,0.8,2.1328829340552846,0.6511627906976745,0.08983858711604661,1.1999345860736315
79,Jakub Piotr Kiwior,Poland,DEF,288,0.07910829199808317,1.0,2.1782493249099044,0.5161290322580645,0.08893810768495497,0.345985137951432
80,Rúben Santos Gato Alves Dias,Portugal,DEF,440,0.08386990358273358,0.9777777777777777,1.744452903586076,0.6197183098591549,0.08865431594984384,0.7712204962335522
81,Marc Guehi,England,DEF,610,0.03485881273746651,0.9682539682539683,3.777335837641361,0.6931818181818182,0.08837606059794649,0.39434630942965354
82,Mert Müldür,Turkey,DEF,365,0.07151211561143522,0.8111111111111111,2.566679355379114,0.5748031496062992,0.08557575386612108,0.6990515909591805
83,Randal Kolo Muani,France,FWD,219,0.15794965421723514,0.40555555555555556,2.966450983561978,0.44785276073619634,0.08510233316182104,1.1339386205387088
84,Rafael Alexandre Conceição Leão,Portugal,FWD,293,0.1435763403927565,0.6511111111111111,1.744452903586076,0.5204262877442274,0.08487044131562047,1.320247332535327
85,Nicola Zalewski,Poland,DEF,260,0.08238682549110246,0.9629629629629629,2.1782493249099044,0.49056603773584906,0.0847759020105141,0.36032401235018846
86,Che Adams,Scotland,FWD,213,0.08077814121145653,0.7888888888888889,3.0004757767029426,0.4409937888198758,0.08432032898937196,0.31458276806691027
87,Vitor Machado Ferreira,Portugal,MID,363,0.10364961503606047,0.8066666666666666,1.744452903586076,0.5734597156398105,0.08364191521530936,0.9531036060351916
88,Barış Alper Yılmaz,Turkey,FWD,487,0.04728921039987758,1.0,2.566679355379114,0.6433289299867899,0.07808484664718686,0.46226569417772523
89,Marc Cucurella Saseta,Spain,DEF,588,0.05610119438695351,0.9333333333333333,2.1328829340552846,0.6853146853146853,0.07653603183254375,0.8325557941284899
90,Heorhii Tsitaishvili,Georgia,DEF,203,0.1766621052702357,0.5638888888888889,1.7557945012997307,0.42917547568710357,0.0750663882174276,0.913014869174672
91,Amadou Onana,Belgium,MID,385,0.09346506118843642,1.0,1.3446812754032118,0.5877862595419847,0.0738733989443279,0.5640020404562204
92,Marcel Sabitzer,Austria,FWD,390,0.13185108837494797,1.0,0.9335680495066926,0.5909090909090909,0.07273616019063416,0.7162858301202761
93,Mykola Matvienko,Ukraine,DEF,288,0.07736551751184283,1.0,1.7671360990133853,0.5161290322580645,0.07056278648466048,0.3808760504449061
94,Federico Dimarco,Italy,DEF,239,0.12043507085269352,0.6638888888888889,1.7557945012997307,0.46954813359528486,0.06591771977713894,0.8729937777560987
95,Francisco Fernandes Conceição,Portugal,MID,201,0.1949512856067139,0.44666666666666666,1.744452903586076,0.4267515923566879,0.06482522702150904,1.7926624546392316
96,João Pedro Cavaco Cancelo,Portugal,DEF,353,0.08217871882841227,0.7844444444444445,1.744452903586076,0.5666131621187801,0.06371878200258146,0.7556693117235606
97,Strahinja Pavlović,Serbia,DEF,288,0.08917725633391893,1.0,1.3560228731168664,0.5161290322580645,0.06241362547127743,0.35033461997011667
98,Christoph Baumgartner,Austria,MID,311,0.14201055627542736,0.8638888888888889,0.9335680495066926,0.5352839931153184,0.061306814881029424,0.7714775087659705
99,Fabian Lukas Schär,Switzerland,DEF,509,0.05149439373216054,1.0,1.744452903586076,0.6534017971758665,0.05869478592325583,0.4763259379665599
100,Antoine Griezmann,France,MID,416,0.04203465729043138,0.7703703703703704,2.966450983561978,0.6064139941690962,0.05825235309390465,0.3017716090544506
101,Jan Bednarek,Poland,DEF,288,0.05170405774077868,1.0,2.1782493249099044,0.5161290322580645,0.05812868586784716,0.22613097942407315
102,Aymeric Laporte,Spain,DEF,564,0.04408484781540112,0.8952380952380953,2.1328829340552846,0.6762589928057554,0.056925646700642304,0.6542301974683147
103,Jaka Bijol,Slovenia,DEF,412,0.0487190028414618,1.0,1.7557945012997307,0.6041055718475073,0.05167552728256887,0.17843933104463192
104,Denzel Dumfries,Netherlands,DEF,482,0.026699324930691232,0.8925925925925926,3.377564209458497,0.6409574468085106,0.0515924759946773,0.3205312435456449
105,Stanislav Lobotka,Slovakia,MID,425,0.04753449613384647,1.0,1.7557945012997307,0.6115107913669064,0.0510371840962459,0.2989180700094842
106,Saša Lukić,Serbia,MID,212,0.10816638124722511,0.7851851851851852,1.3560228731168664,0.43983402489626555,0.050654756857477536,0.4249337737628519
107,Anthony Ralston,Scotland,DEF,276,0.03257866971564552,1.0,3.0004757767029426,0.5054945054945055,0.049412850864549517,0.12687452255501822
108,Callum McGregor,Scotland,MID,268,0.03328603092704845,0.9925925925925926,3.0004757767029426,0.49814126394052044,0.04938279713857979,0.129629273339934
109,Nuno Mendes,Portugal,DEF,434,0.046708984181462576,0.9644444444444444,1.744452903586076,0.6164772727272727,0.048445557438923245,0.429509566843103
110,Bruno Miguel Borges Fernandes,Portugal,MID,390,0.053440968816075574,0.8666666666666667,1.744452903586076,0.5909090909090909,0.04774262968018139,0.49141311398884857
111,Joachim Andersen,Denmark,DEF,384,0.046119846115956806,1.0,1.7557945012997307,0.5871559633027523,0.047546112123999534,0.14345112085574369
112,Kléper Laveran Lima Ferreira,Portugal,DEF,423,0.04690109878086986,0.94,1.744452903586076,0.6103896103896104,0.046943693067743306,0.4312761447257452
113,Artem Dovbyk,Ukraine,FWD,259,0.05538001228843812,0.9592592592592593,1.7671360990133853,0.4896030245746692,0.0459624466176737,0.27263981464070025
114,Wout Faes,Belgium,DEF,385,0.05603412057784214,1.0,1.3446812754032118,0.5877862595419847,0.04428853831910442,0.33813018404125167
115,Marin Pongracic,Croatia,DEF,196,0.0641007956889872,0.725925925925926,2.1782493249099044,0.4206008583690987,0.04263178043054187,0.27990462750402856
116,Illia Zabarnyi,Ukraine,DEF,288,0.04649299846898998,1.0,1.7671360990133853,0.5161290322580645,0.04240488048822,0.22888840144447148
117,Georgiy Sudakov,Ukraine,MID,276,0.04719056412655375,1.0,1.7671360990133853,0.5054945054945055,0.04215427332350113,0.23232256773875398
118,Rodrigo Hernández Cascante,Spain,MID,555,0.03329999397166853,0.8809523809523809,2.1328829340552846,0.6727272727272727,0.04209229858467799,0.49418026173082225
119,Kevin De Bruyne,Belgium,MID,385,0.05152445981090661,1.0,1.3446812754032118,0.5877862595419847,0.040724169294964425,0.31091725717878377
120,Jeremy Doku,Belgium,FWD,329,0.059383284878420206,0.9138888888888889,1.3446812754032118,0.5492487479131887,0.04008169211773771,0.3583402547920838
121,Kevin Danso,Austria,DEF,232,0.14008746174613212,0.6444444444444445,0.9335680495066926,0.46215139442231074,0.03895067589321784,0.761030227834934
122,Arthur Theate,Belgium,DEF,266,0.07384921153085496,0.7388888888888889,1.3446812754032118,0.4962686567164179,0.036413397581320124,0.4456328970406574
123,Alexander Hartmann Bah,Denmark,DEF,293,0.047569264766134024,0.8138888888888889,1.7557945012997307,0.5204262877442274,0.03537728242423442,0.14795939110093
124,Giorgi Chakvetadze,Georgia,MID,253,0.05437687013429802,0.7027777777777777,1.7557945012997307,0.4837476099426386,0.03245822330882928,0.2810273934857201
125,Nicușor Silviu Bancu,Romania,DEF,288,0.05720540605204804,0.8,1.3446812754032118,0.5161290322580645,0.031761770681817424,0.28732972606035456
126,Jasir Asani,Albania,FWD,214,0.050225660062535836,0.7925925925925926,1.7671360990133853,0.44214876033057854,0.031103844536151982,0.18304091406897022
127,Lasha Dvali,Georgia,DEF,389,0.029703207562526986,1.0,1.7557945012997307,0.590288315629742,0.03078514626722009,0.15351039842576716
128,Otar Kakabadze,Georgia,DEF,389,0.027303491315314204,1.0,1.7557945012997307,0.590288315629742,0.028298020406662523,0.14110832378642202
129,Tijjani Reijnders,Netherlands,MID,527,0.012635897784420664,0.975925925925926,3.377564209458497,0.6612296110414053,0.027540946861289287,0.15169672044779886
130,Federico Chiesa,Italy,FWD,282,0.03766586638881859,0.7833333333333333,1.7557945012997307,0.5108695652173914,0.026465389147213997,0.27302733961480286
