rank,player_name,team,position_group,minutes,xt,xt_p90
222,Morten Hjulmand,Denmark,MID,248,-0.01094770845433988,-0.003972958713268505
223,Denis Mihai Drăguş,Romania,FWD,301,-0.01713020930880872,-0.005121989494328188
224,Róbert Boženík,Slovakia,FWD,225,-0.017211437717570274,-0.00688457508702811
225,Aleksandar Mitrović,Serbia,FWD,254,-0.017606220582508762,-0.006238424615849562
226,Rasmus Winther Højlund,Denmark,FWD,293,-0.019508678242671933,-0.0059924267639606624
227,Silvan Widmer,Switzerland,DEF,312,-0.020436248633400385,-0.005895071721173188
228,Christian Dannemann Eriksen,Denmark,MID,364,-0.022855583220612156,-0.005651105741360149
229,Volodymyr Brazhko,Ukraine,MID,189,-0.023070148414366994,-0.010985784959222379
230,Mikel Merino Zazón,Spain,MID,217,-0.025478401795050544,-0.010567079085504834
231,Ondrej Duda,Slovakia,MID,333,-0.03939588664295813,-0.010647536930529224
232,Gianluca Scamacca,Italy,FWD,269,-0.046536913565705884,-0.015569971081462936
233,Kaan Ayhan,Turkey,DEF,377,-0.055050449163612104,-0.013142017041711111
234,Che Adams,Scotland,FWD,213,-0.056570370852017486,-0.023902973599444006
235,Romelu Lukaku Menama,Belgium,FWD,380,-0.05816768703079349,-0.013776557454661616
236,Marko Arnautović,Austria,FWD,297,-0.06375048593637044,-0.019318329071627404
237,Barnabás Varga,Hungary,FWD,261,-0.06380639451369294,-0.0220022050047217
238,Jaka Bijol,Slovenia,DEF,412,-0.06781450093802753,-0.014813847292287567
239,Callum McGregor,Scotland,MID,268,-0.09624064198786858,-0.03231961857801557
240,Amadou Onana,Belgium,MID,385,-0.24260408909388367,-0.05671264420376502
241,Dušan Vlahović,Serbia,MID,189,-0.24969235091558062,-0.11890111948360983
